fuzzy_risk,classes,functions,comment_lines,ncloc,lines,complexity,class_complexity,function_complexity,blocker_violations,critical_violations,major_violations,minor_violations,Label
51.11,28,228,206,4189,5236,756,27,2.7,0,32,310,229,1
0,17,89,0,990,1272,164,9.6,1.8,0,1,27,16,0
51.11,13,61,64,774,1116,150,11.5,2.4,0,2,94,47,1
0,23,97,93,1482,2280,272,11.8,2.8,0,0,41,89,0
0,27,116,153,1385,2332,266,9.9,2.3,0,0,75,45,0
51.11,61,417,804,5750,8709,1188,19.5,2.8,0,19,562,233,1
51.11,317,4952,15637,45129,74511,11444,36.1,2.3,2,13,4479,2599,1
51.11,107,549,408,6344,9532,1248,11.7,2.3,5,30,1126,283,1
15,24,168,170,1646,2336,302,12.6,1.7,0,0,100,67,0
0,25,140,3,2103,2801,357,14.3,2.5,0,1,97,53,0
0,10,46,100,1436,1910,109,10.9,2.4,0,1,23,14,0
0,112,702,1109,10879,15260,2183,19.5,3.1,2,0,384,344,0
